gene,gene_ID_robin,cluster
GQ602_000931,Ophcf2|00931,2
GQ602_000932,Ophcf2|00932,2
GQ602_000934,Ophcf2|00934,4
GQ602_000936,Ophcf2|00936,1
GQ602_000937,Ophcf2|00937,4
GQ602_000938,Ophcf2|00938,2
GQ602_000939,Ophcf2|00939,2
GQ602_000946,Ophcf2|00946,1
GQ602_000948,Ophcf2|00948,1
GQ602_000951,Ophcf2|00951,3
GQ602_000955,Ophcf2|00955,1
GQ602_000956,Ophcf2|00956,4
GQ602_000958,Ophcf2|00958,3
GQ602_000959,Ophcf2|00959,1
GQ602_000962,Ophcf2|00962,1
GQ602_000964,Ophcf2|00964,1
GQ602_000965,Ophcf2|00965,2
GQ602_000980,Ophcf2|00980,3
GQ602_000983,Ophcf2|00983,1
GQ602_000984,Ophcf2|00984,4
GQ602_000985,Ophcf2|00985,1
GQ602_000987,Ophcf2|00987,1
GQ602_000994,Ophcf2|00994,4
GQ602_000996,Ophcf2|00996,4
GQ602_001006,Ophcf2|01006,4
GQ602_001016,Ophcf2|01016,1
GQ602_001017,Ophcf2|01017,1
GQ602_001019,Ophcf2|01019,1
GQ602_001020,Ophcf2|01020,4
GQ602_001022,Ophcf2|01022,2
GQ602_001023,Ophcf2|01023,4
GQ602_001029,Ophcf2|01029,1
GQ602_001033,Ophcf2|01033,1
GQ602_001034,Ophcf2|01034,1
GQ602_001040,Ophcf2|01040,1
GQ602_001043,Ophcf2|01043,4
GQ602_001044,Ophcf2|01044,2
GQ602_001047,Ophcf2|01047,1
GQ602_001059,Ophcf2|01059,1
GQ602_001060,Ophcf2|01060,1
GQ602_001067,Ophcf2|01067,3
GQ602_001068,Ophcf2|01068,3
GQ602_001080,Ophcf2|01080,4
GQ602_001084,Ophcf2|01084,2
GQ602_001085,Ophcf2|01085,2
GQ602_001087,Ophcf2|01087,2
GQ602_001091,Ophcf2|01091,2
GQ602_001093,Ophcf2|01093,2
GQ602_001095,Ophcf2|01095,4
GQ602_001100,Ophcf2|01100,4
GQ602_001101,Ophcf2|01101,4
GQ602_001102,Ophcf2|01102,4
GQ602_001103,Ophcf2|01103,1
GQ602_001104,Ophcf2|01104,4
GQ602_001109,Ophcf2|01109,1
GQ602_001110,Ophcf2|01110,1
GQ602_001112,Ophcf2|01112,4
GQ602_001113,Ophcf2|01113,4
GQ602_001116,Ophcf2|01116,1
GQ602_001117,Ophcf2|01117,2
GQ602_001119,Ophcf2|01119,1
GQ602_001120,Ophcf2|01120,1
GQ602_001122,Ophcf2|01122,1
GQ602_001128,Ophcf2|01128,2
GQ602_001137,Ophcf2|01137,1
GQ602_001138,Ophcf2|01138,2
GQ602_001143,Ophcf2|01143,1
GQ602_001144,Ophcf2|01144,4
GQ602_001146,Ophcf2|01146,2
GQ602_001147,Ophcf2|01147,2
GQ602_001149,Ophcf2|01149,4
GQ602_001156,Ophcf2|01156,2
GQ602_001160,Ophcf2|01160,1
GQ602_001162,Ophcf2|01162,1
GQ602_001163,Ophcf2|01163,1
GQ602_001165,Ophcf2|01165,4
GQ602_001166,Ophcf2|01166,1
GQ602_001170,Ophcf2|01170,1
GQ602_001172,Ophcf2|01172,1
GQ602_001173,Ophcf2|01173,1
GQ602_001181,Ophcf2|01181,3
GQ602_001186,Ophcf2|01186,3
GQ602_001187,Ophcf2|01187,3
GQ602_001191,Ophcf2|01191,1
GQ602_001193,Ophcf2|01193,1
GQ602_001204,Ophcf2|01204,4
GQ602_001209,Ophcf2|01209,4
GQ602_001211,Ophcf2|01211,3
GQ602_001217,Ophcf2|01217,2
GQ602_001223,Ophcf2|01223,2
GQ602_001226,Ophcf2|01226,4
GQ602_001234,Ophcf2|01234,4
GQ602_001237,Ophcf2|01237,3
GQ602_001240,Ophcf2|01240,1
GQ602_001247,Ophcf2|01247,1
GQ602_001258,Ophcf2|01258,4
GQ602_001262,Ophcf2|01262,1
GQ602_001265,Ophcf2|01265,4
GQ602_001267,Ophcf2|01267,2
GQ602_001275,Ophcf2|01275,1
GQ602_001279,Ophcf2|01279,4
GQ602_001280,Ophcf2|01280,4
GQ602_001281,Ophcf2|01281,1
GQ602_001285,Ophcf2|01285,1
GQ602_001286,Ophcf2|01286,1
GQ602_001291,Ophcf2|01291,1
GQ602_001303,Ophcf2|01303,1
GQ602_001305,Ophcf2|01305,1
GQ602_001315,Ophcf2|01315,4
GQ602_001317,Ophcf2|01317,1
GQ602_001323,Ophcf2|01323,4
GQ602_001324,Ophcf2|01324,3
GQ602_001325,Ophcf2|01325,1
GQ602_001326,Ophcf2|01326,2
GQ602_001333,Ophcf2|01333,1
GQ602_001334,Ophcf2|01334,1
GQ602_001337,Ophcf2|01337,1
GQ602_001339,Ophcf2|01339,2
GQ602_001343,Ophcf2|01343,1
GQ602_001344,Ophcf2|01344,4
GQ602_001345,Ophcf2|01345,4
GQ602_001348,Ophcf2|01348,1
GQ602_001350,Ophcf2|01350,3
GQ602_001351,Ophcf2|01351,1
GQ602_001355,Ophcf2|01355,3
GQ602_001356,Ophcf2|01356,1
GQ602_001362,Ophcf2|01362,1
GQ602_001372,Ophcf2|01372,4
GQ602_001375,Ophcf2|01375,3
GQ602_001376,Ophcf2|01376,3
GQ602_001377,Ophcf2|01377,1
GQ602_001380,Ophcf2|01380,4
GQ602_001384,Ophcf2|01384,3
GQ602_001390,Ophcf2|01390,3
