"gene_name","module_identity","GCN"
"BBA_01402","brown","beau"
"BBA_01405","brown","beau"
"BBA_01406","brown","beau"
"BBA_01409","brown","beau"
"BBA_01410","brown","beau"
"BBA_01411","brown","beau"
"BBA_01415","brown","beau"
"BBA_01418","brown","beau"
"BBA_01419","brown","beau"
"BBA_01420","brown","beau"
"BBA_01421","brown","beau"
"BBA_01422","brown","beau"
"BBA_01423","brown","beau"
"BBA_01424","brown","beau"
"BBA_01425","brown","beau"
"BBA_01426","brown","beau"
"BBA_01427","brown","beau"
"BBA_01429","brown","beau"
"BBA_01431","brown","beau"
"BBA_01432","brown","beau"
"BBA_01435","brown","beau"
"BBA_01438","brown","beau"
"BBA_01440","brown","beau"
"BBA_01441","brown","beau"
"BBA_01443","brown","beau"
"BBA_01447","brown","beau"
"BBA_01451","brown","beau"
"BBA_01458","brown","beau"
"BBA_01462","brown","beau"
"BBA_01466","brown","beau"
"BBA_01467","brown","beau"
"BBA_01468","brown","beau"
"BBA_01469","brown","beau"
"BBA_01472","brown","beau"
"BBA_01473","brown","beau"
"BBA_01474","brown","beau"
"BBA_01475","brown","beau"
"BBA_01476","brown","beau"
"BBA_01477","brown","beau"
"BBA_01478","brown","beau"
"BBA_01480","brown","beau"
"BBA_01481","brown","beau"
"BBA_01482","brown","beau"
"BBA_01486","brown","beau"
"BBA_01487","brown","beau"
"BBA_01492","brown","beau"
"BBA_01493","brown","beau"
"BBA_01494","brown","beau"
"BBA_01498","brown","beau"
"BBA_01499","brown","beau"
"BBA_01500","brown","beau"
"BBA_01501","brown","beau"
"BBA_01502","brown","beau"
"BBA_01503","brown","beau"
"BBA_01504","brown","beau"
"BBA_01505","brown","beau"
"BBA_01506","brown","beau"
"BBA_01507","brown","beau"
"BBA_01509","brown","beau"
"BBA_01512","brown","beau"
"BBA_01514","brown","beau"
"BBA_01518","brown","beau"
"BBA_01520","brown","beau"
"BBA_01521","brown","beau"
"BBA_01522","brown","beau"
"BBA_01523","brown","beau"
"BBA_01524","brown","beau"
"BBA_01525","brown","beau"
"BBA_01529","brown","beau"
"BBA_01530","brown","beau"
"BBA_01532","brown","beau"
"BBA_01536","brown","beau"
"BBA_01538","brown","beau"
"BBA_01541","brown","beau"
"BBA_01542","brown","beau"
"BBA_01545","brown","beau"
"BBA_01546","brown","beau"
"BBA_01548","brown","beau"
"BBA_01550","brown","beau"
"BBA_01553","brown","beau"
"BBA_01555","brown","beau"
"BBA_01556","brown","beau"
"BBA_01557","brown","beau"
"BBA_01560","brown","beau"
"BBA_01565","brown","beau"
"BBA_01567","brown","beau"
"BBA_01572","brown","beau"
"BBA_01573","brown","beau"
"BBA_01577","brown","beau"
"BBA_01578","brown","beau"
"BBA_01579","brown","beau"
"BBA_01583","brown","beau"
"BBA_01586","brown","beau"
"BBA_01588","brown","beau"
"BBA_01589","brown","beau"
"BBA_01590","brown","beau"
"BBA_01591","brown","beau"
"BBA_01592","brown","beau"
"BBA_01594","brown","beau"
"BBA_01595","brown","beau"
"BBA_01598","brown","beau"
"BBA_01610","brown","beau"
"BBA_01612","brown","beau"
"BBA_01615","brown","beau"
"BBA_01616","brown","beau"
"BBA_01618","brown","beau"
"BBA_01621","brown","beau"
"BBA_01624","brown","beau"
"BBA_01625","brown","beau"
"BBA_01628","brown","beau"
"BBA_01632","brown","beau"
"BBA_01637","brown","beau"
"BBA_01638","brown","beau"
"BBA_01640","brown","beau"
"BBA_01641","brown","beau"
"BBA_01642","brown","beau"
"BBA_01643","brown","beau"
"BBA_01647","brown","beau"
"BBA_01650","brown","beau"
"BBA_01651","brown","beau"
"BBA_01654","brown","beau"
"BBA_01655","brown","beau"
"BBA_01656","brown","beau"
"BBA_01657","brown","beau"
"BBA_01660","brown","beau"
"BBA_01661","brown","beau"
"BBA_01665","brown","beau"
"BBA_01666","brown","beau"
"BBA_01668","brown","beau"
"BBA_01672","brown","beau"
"BBA_01673","brown","beau"
"BBA_01674","brown","beau"
"BBA_01675","brown","beau"
"BBA_01681","brown","beau"
"BBA_01684","brown","beau"
"BBA_01686","brown","beau"
"BBA_01694","brown","beau"
"BBA_01695","brown","beau"
"BBA_01697","brown","beau"
"BBA_01699","brown","beau"
"BBA_01703","brown","beau"
"BBA_01704","brown","beau"
"BBA_01706","brown","beau"
"BBA_01707","brown","beau"
"BBA_01708","brown","beau"
"BBA_01709","brown","beau"
"BBA_01710","brown","beau"
"BBA_01713","brown","beau"
"BBA_01714","brown","beau"
"BBA_01715","brown","beau"
"BBA_01716","brown","beau"
"BBA_01717","brown","beau"
"BBA_01723","brown","beau"
"BBA_01724","brown","beau"
"BBA_01725","brown","beau"
"BBA_01726","brown","beau"
"BBA_01727","brown","beau"
"BBA_01728","brown","beau"
"BBA_01735","brown","beau"
"BBA_01737","brown","beau"
"BBA_01738","brown","beau"
"BBA_01742","brown","beau"
"BBA_01746","brown","beau"
"BBA_01748","brown","beau"
"BBA_01751","brown","beau"
"BBA_01753","brown","beau"
"BBA_01760","brown","beau"
"BBA_01761","brown","beau"
"BBA_01762","brown","beau"
"BBA_01763","brown","beau"
"BBA_01764","brown","beau"
"BBA_01766","brown","beau"
"BBA_01767","brown","beau"
"BBA_01768","brown","beau"
"BBA_01770","brown","beau"
"BBA_01773","brown","beau"
"BBA_01775","brown","beau"
"BBA_01777","brown","beau"
"BBA_01779","brown","beau"
"BBA_01787","brown","beau"
"BBA_01788","brown","beau"
"BBA_01792","brown","beau"
"BBA_01795","brown","beau"
"BBA_01797","brown","beau"
"BBA_01798","brown","beau"
"BBA_01799","brown","beau"
"BBA_01800","brown","beau"
"BBA_01801","brown","beau"
"BBA_01803","brown","beau"
"BBA_01804","brown","beau"
"BBA_01805","brown","beau"
"BBA_01806","brown","beau"
"BBA_01809","brown","beau"
"BBA_01810","brown","beau"
"BBA_01818","brown","beau"
"BBA_01820","brown","beau"
"BBA_01822","brown","beau"
"BBA_01824","brown","beau"
"BBA_01827","brown","beau"
"BBA_01829","brown","beau"
"BBA_01834","brown","beau"
"BBA_01839","brown","beau"
"BBA_01844","brown","beau"
"BBA_01846","brown","beau"
"BBA_01848","brown","beau"
"BBA_01849","brown","beau"
"BBA_01850","brown","beau"
"BBA_01851","brown","beau"
"BBA_01853","brown","beau"
"BBA_01857","brown","beau"
"BBA_01858","brown","beau"
"BBA_01859","brown","beau"
"BBA_01860","brown","beau"
"BBA_01861","brown","beau"
"BBA_01864","brown","beau"
"BBA_01866","brown","beau"
"BBA_01868","brown","beau"
"BBA_01869","brown","beau"
"BBA_01871","brown","beau"
"BBA_01874","brown","beau"
"BBA_01876","brown","beau"
"BBA_01878","brown","beau"
"BBA_01879","brown","beau"
"BBA_01880","brown","beau"
"BBA_01884","brown","beau"
"BBA_01886","brown","beau"
"BBA_01887","brown","beau"
"BBA_01888","brown","beau"
"BBA_01892","brown","beau"
"BBA_01894","brown","beau"
"BBA_01895","brown","beau"
"BBA_01898","brown","beau"
"BBA_01899","brown","beau"
