"gene_name","module_identity","GCN"
"GQ602_002447","brown","ophio_cflo"
"GQ602_002450","brown","ophio_cflo"
"GQ602_002453","brown","ophio_cflo"
"GQ602_002463","brown","ophio_cflo"
"GQ602_002465","brown","ophio_cflo"
"GQ602_002472","brown","ophio_cflo"
"GQ602_002474","brown","ophio_cflo"
"GQ602_002489","brown","ophio_cflo"
"GQ602_002491","brown","ophio_cflo"
"GQ602_002497","brown","ophio_cflo"
"GQ602_002499","brown","ophio_cflo"
"GQ602_002501","brown","ophio_cflo"
"GQ602_002508","brown","ophio_cflo"
"GQ602_002509","brown","ophio_cflo"
"GQ602_002520","brown","ophio_cflo"
"GQ602_002533","brown","ophio_cflo"
"GQ602_002542","brown","ophio_cflo"
"GQ602_002543","brown","ophio_cflo"
"GQ602_002544","brown","ophio_cflo"
"GQ602_002547","brown","ophio_cflo"
"GQ602_002548","brown","ophio_cflo"
"GQ602_002571","brown","ophio_cflo"
"GQ602_002575","brown","ophio_cflo"
"GQ602_002578","brown","ophio_cflo"
"GQ602_002582","brown","ophio_cflo"
"GQ602_002590","brown","ophio_cflo"
"GQ602_002594","brown","ophio_cflo"
"GQ602_002598","brown","ophio_cflo"
"GQ602_002606","brown","ophio_cflo"
"GQ602_002607","brown","ophio_cflo"
"GQ602_002612","brown","ophio_cflo"
"GQ602_002615","brown","ophio_cflo"
"GQ602_002617","brown","ophio_cflo"
"GQ602_002620","brown","ophio_cflo"
"GQ602_002634","brown","ophio_cflo"
"GQ602_002656","brown","ophio_cflo"
"GQ602_002664","brown","ophio_cflo"
"GQ602_002681","brown","ophio_cflo"
"GQ602_002686","brown","ophio_cflo"
"GQ602_002697","brown","ophio_cflo"
"GQ602_002714","brown","ophio_cflo"
"GQ602_002725","brown","ophio_cflo"
"GQ602_002728","brown","ophio_cflo"
"GQ602_002731","brown","ophio_cflo"
"GQ602_002732","brown","ophio_cflo"
"GQ602_002734","brown","ophio_cflo"
"GQ602_002735","brown","ophio_cflo"
"GQ602_002739","brown","ophio_cflo"
"GQ602_002741","brown","ophio_cflo"
"GQ602_002774","brown","ophio_cflo"
"GQ602_002777","brown","ophio_cflo"
"GQ602_002778","brown","ophio_cflo"
"GQ602_002779","brown","ophio_cflo"
"GQ602_002785","brown","ophio_cflo"
"GQ602_002790","brown","ophio_cflo"
"GQ602_002791","brown","ophio_cflo"
"GQ602_002809","brown","ophio_cflo"
"GQ602_002811","brown","ophio_cflo"
"GQ602_002815","brown","ophio_cflo"
"GQ602_002826","brown","ophio_cflo"
"GQ602_002846","brown","ophio_cflo"
"GQ602_002859","brown","ophio_cflo"
"GQ602_002860","brown","ophio_cflo"
"GQ602_002868","brown","ophio_cflo"
"GQ602_002879","brown","ophio_cflo"
"GQ602_002880","brown","ophio_cflo"
"GQ602_002884","brown","ophio_cflo"
"GQ602_002890","brown","ophio_cflo"
"GQ602_002918","brown","ophio_cflo"
"GQ602_002920","brown","ophio_cflo"
"GQ602_002924","brown","ophio_cflo"
"GQ602_002925","brown","ophio_cflo"
"GQ602_002928","brown","ophio_cflo"
"GQ602_002932","brown","ophio_cflo"
"GQ602_002935","brown","ophio_cflo"
"GQ602_002936","brown","ophio_cflo"
"GQ602_002939","brown","ophio_cflo"
"GQ602_002944","brown","ophio_cflo"
"GQ602_002951","brown","ophio_cflo"
"GQ602_002954","brown","ophio_cflo"
"GQ602_002955","brown","ophio_cflo"
"GQ602_002961","brown","ophio_cflo"
"GQ602_002964","brown","ophio_cflo"
"GQ602_002965","brown","ophio_cflo"
"GQ602_002968","brown","ophio_cflo"
"GQ602_002969","brown","ophio_cflo"
"GQ602_002972","brown","ophio_cflo"
"GQ602_002977","brown","ophio_cflo"
"GQ602_002978","brown","ophio_cflo"
"GQ602_002981","brown","ophio_cflo"
"GQ602_002984","brown","ophio_cflo"
"GQ602_002987","brown","ophio_cflo"
"GQ602_003009","brown","ophio_cflo"
"GQ602_003013","brown","ophio_cflo"
"GQ602_003016","brown","ophio_cflo"
"GQ602_003017","brown","ophio_cflo"
"GQ602_003020","brown","ophio_cflo"
"GQ602_003033","brown","ophio_cflo"
"GQ602_003050","brown","ophio_cflo"
"GQ602_003051","brown","ophio_cflo"
"GQ602_003059","brown","ophio_cflo"
"GQ602_003060","brown","ophio_cflo"
"GQ602_003065","brown","ophio_cflo"
"GQ602_003067","brown","ophio_cflo"
"GQ602_003068","brown","ophio_cflo"
"GQ602_003074","brown","ophio_cflo"
"GQ602_003078","brown","ophio_cflo"
"GQ602_003096","brown","ophio_cflo"
