"gene_name","ZT02A","ZT04A","ZT06A","ZT08A","ZT10A","ZT12A","ZT14A","ZT16A","ZT18A","ZT20A","ZT22A","ZT24A"
"BBA_06291",-1.1059656912347,-0.791235213027462,-2.13107774868983,0.853708781548343,0.0738102921240516,0.901508870313049,0.424918268310625,1.48314001156842,-0.626111226709417,0.297955204308999,0.240896258628656,0.378452192859282
"BBA_06292",0.65414154256414,-0.761551532742769,0.285987284886995,-0.761551532742769,-0.761551532742769,1.45685527667965,-0.761551532742769,-0.761551532742769,-0.761551532742769,-0.761551532742769,1.51353033579723,1.42034628927136
"BBA_06293",1.40460263831013,0.752233715024262,-0.56409462554061,1.26669034221129,0.887427928392252,0.484871900013604,0.28549471147699,-0.361506811133291,-0.230591114226389,-1.17070367482177,-1.16917731398663,-1.58524769571984
"BBA_06294",0.376803383294701,0.946753498559652,0.431990736428412,-0.69174645932115,1.32574747169237,-1.14120855135883,1.36986437198042,-0.197141889795133,-1.27463080043423,0.775694523200904,-1.31285912504311,-0.609267159203949
"BBA_06295",-0.256505160522436,-0.310427126026129,-0.926997538501938,0.219044740098538,2.86929451952117,-0.574255800170569,0.147566098374875,0.0187647033563628,0.0203488557823784,-0.124020297391146,-1.15122177075948,0.0684087762383351
"BBA_06296",-1.57917148652731,-0.283455292662278,-0.304949536065842,-0.540580005190917,0.0180959116368266,-1.27229726230636,0.308462735194521,-0.566241564961727,1.61919350528034,0.528124315340971,0.344740540617627,1.72807813964414
"BBA_06297",-2.44076969067064,-0.137467971755153,0.776575127260848,-0.681693968471541,1.35906171132244,-1.01171436887497,0.620782766363972,0.126126100358286,0.00473507532568105,0.304184205938074,0.603850135736714,0.476330877466287
"BBA_06298",-0.237619847189176,-0.146413756514953,1.7364437984314,-1.13578592045858,-0.977676191394241,-0.278255923723996,1.28153965072379,0.668867539851271,-1.52403574663795,0.179653690012649,0.939490225599848,-0.506207518700061
"BBA_06299",0.349893769711595,0.860619372642136,0.0126287002898897,1.22572748676954,1.18321935485398,0.504149653217174,-0.07990030990338,-1.58012578420409,0.825631397152918,-1.39826736367923,-1.07087776076526,-0.832698516085273
"BBA_06300",0.0894453789292725,-0.877240780238639,-0.536396197898319,0.284626339614283,2.27537408928464,0.815527743538323,-0.436896209860976,0.688756755036271,-1.37775592168098,0.317881117254647,-0.0860058488701186,-1.1573164651084
"BBA_06301",-1.65862461342551,-0.861032868321767,-0.45205878375232,-1.38699871565064,0.800149266920717,0.0684609246752457,-0.444029646202558,-0.0832713354605697,0.853387730980805,0.498243437759342,1.35222330886655,1.31355129361071
"BBA_06302",1.34513261694392,1.08434502917968,0.810998580296373,0.0232427573048291,1.29074446253657,-0.787957792528775,-0.617965792535432,-1.30435872122413,0.709768204489644,-1.29190561141151,-0.723905739711896,-0.538137993339266
"BBA_06303",2.00094225079881,0.360883024883696,0.549925739366491,0.505112553655682,1.33864856629845,0.270181060623051,-0.700413000500331,-0.93251682931392,-0.939891007465259,-1.00230448792246,-0.992874832915791,-0.457693037508411
"BBA_06304",1.66923015124058,0.0746113861722539,0.960970888024859,0.787231785612443,1.10038084234753,0.134917341884686,0.198450158761649,-0.798181300733065,-1.56267303585616,-0.968777441878649,-1.02726045891675,-0.568900316659366
"BBA_06305",0.376002584699888,0.0752021057470104,0.755404253263931,0.876897562099347,1.75840079322224,0.371445733917073,0.36286646041385,-0.606579118214187,-1.9878317962374,-1.23835737921687,-0.477702271269584,-0.265748928425302
"BBA_06306",-0.708891528209326,-1.3868103245865,0.862375355577917,-2.03966581466204,0.762072899664536,0.508754759705783,0.0403173930544067,-0.376130960343892,-0.215997871955836,0.305232880159628,1.02595837920215,1.22278483239317
"BBA_06307",-0.860165062182168,-1.13975020835794,-0.422853991902207,-1.92528184877974,0.323397762039864,0.374991138675338,0.353402344962215,-0.282520786779445,0.05082423554716,0.619401175642868,1.52343844403385,1.3851167971002
"BBA_06308",-1.97689576507983,-0.475436243750612,-0.373481369889897,-1.38822967934094,-0.342093356324899,-0.287893784863817,0.316806443515455,0.774019052973287,0.604970844854401,0.940076876826358,0.778442083606299,1.4297148974742
"BBA_06309",0.782155972472083,-0.42161388652077,-0.23409925583473,-1.7181276832754,-0.302723893752126,-0.604407981658553,-0.905733350467749,-0.415010438355352,-0.181111203305665,1.13112709298167,1.03179695239283,1.83774767532375
"BBA_06310",0.850378698732691,-0.498212379708692,-0.364362246737334,1.50798804062018,-1.5668863332419,0.776805732216558,-0.710997692139774,0.267751771622883,1.14936825076298,0.630802293250808,-1.32210367222884,-0.720532463149496
"BBA_06311",0.852062486653038,-0.175749642996229,-0.0158897320227247,-0.74510951267586,-2.39624180601119,1.73614146925292,-0.366566007351701,0.338016237583038,0.00657332084595184,0.785179493089023,0.172662238203079,-0.191078544569335
"BBA_06312",1.17222711217772,-0.239456608715028,-0.422041132759173,0.994634318864316,-2.79441855167448,0.411609882373031,0.23963798408939,0.0467292923221291,0.284644973643564,0.495236662908438,-0.192419007773888,0.00361507454398568
"BBA_06313",0.224809048611893,-2.17849252146233,-1.16988847642354,0.372545272907786,1.56313099595828,0.534510954159034,0.314917687419115,0.933129240422845,-0.802082415655386,-0.134620495360379,-0.201312557755114,0.543353267177802
"BBA_06314",0.558207018998066,-0.883411801978084,-0.285507666135703,-0.6502005652597,1.27319426118902,-1.86280595088621,0.48868347920173,-0.535470745336962,-0.878502672036378,0.546218346323821,0.774627777251718,1.45496851866868
"BBA_06315",-1.09504255971825,-1.45822812299213,-0.737426944466329,-0.162473220625559,1.43142791412685,1.37293603559781,0.26170877070565,0.081768216622788,-0.71325906299846,-0.0319387392340991,-0.483095435352095,1.53362314833382
"BBA_06316",-1.60097303068913,0.103114914281273,-0.764092292788245,1.7307389102555,0.0895645362340484,0.871239622653918,-1.60097303068913,0.441432160177232,0.439856315802035,0.108868067140502,-0.651059949744429,0.832283777366423
"BBA_06317",-1.09691518787453,-0.0712165004424,-1.09691518787453,-0.485148187017741,0.312934596126614,-1.09691518787453,1.73513740030825,-0.426424293295967,0.121314900738578,1.03297472326864,-0.514166680601525,1.58533960453915
"BBA_06318",-0.765651813802825,0.0941866028868938,-0.77909656022148,1.01478556085395,0.547293218012972,1.84931482295683,0.751901816377338,0.569502780659768,0.0340334341453025,-1.34786154911183,-1.43350104406506,-0.534907268691868
"BBA_06319",0.555190727030815,0.0267312640473661,0.574610387599347,1.00851305857092,0.113861762010627,0.13503544898965,1.44866719967868,-0.339905620804157,-1.36127687958222,-1.52419850264172,-1.48461513659157,0.847386291692259
"BBA_06320",-0.839743061385019,-0.755136045080214,-0.770202428070172,1.04153033170757,1.75818936365164,1.01756597639223,-1.37044442450911,-0.0889629653392519,-0.417183664184585,0.176999518798811,-0.824443934960515,1.07183133297861
"BBA_06321",1.45061927778819,-0.15317536677594,-1.1021906776591,0.685309688224012,1.01152651735494,1.00088357802714,0.421670662059099,-0.0488891144266275,0.27797154046187,-0.525389032326982,-1.70169915666621,-1.3166379160604
"BBA_06322",0.316006700652619,-0.0771697192777046,0.141115983894911,-0.970394058633555,1.59179590694372,-1.00742501405969,0.956374201972019,-0.839917471122041,-0.997563533590766,-1.21631976496399,0.855715468814926,1.24778129936957
"BBA_06323",-0.0436106041734229,-2.112467755879,0.288089801867812,0.616834696300026,0.405642379803591,0.713317709650653,0.7689433331873,-1.65005685320325,0.969564078582936,0.788591309200568,-0.722736663368106,-0.0221114319691265
"BBA_06324",1.01042268318323,0.439079559847984,-0.600352506783706,1.61553903947655,-0.0218010311802805,0.712191903928811,0.61093685318195,0.182608427729593,-0.0565649893435471,-0.555152464864288,-1.5618851087281,-1.77502236644818
"BBA_06325",-0.536199798310419,-0.460988645038323,-0.437535554085892,-0.751414727196653,1.83994205102204,-0.489724828787226,-0.97267137295637,-0.504544221047051,-0.954363161929395,1.21409248156725,0.565740324305596,1.48766745245644
