gene_ID_ncbi,ZT02,ZT04,ZT06,ZT08,ZT10,ZT12,ZT14,ZT16,ZT18,ZT20,ZT22,ZT24
BBA_02742,4.68885,7.8337,2.99721,9.05858,6.856,4.48122,4.54811,5.13639,3.65164,5.02998,4.51375,2.45299
BBA_02743,18.1345,17.2817,20.1093,15.1446,19.6126,19.5079,22.78,19.2506,15.709,22.9766,23.1437,23.6353
BBA_02744,1.30129,0.859958,0.810883,0.92356,1.82047,1.3621,0.879648,0.421105,0.625068,0.70896,1.07796,0.69059
BBA_02745,0,0,0,0,0,0,0,0,0,0,0,0
BBA_02746,0,0,0,0,0,0,0,0,0,0,0,0
BBA_02747,0,0,0,0,0,0,0,0,0,0,0,0
BBA_02748,0,0,0,0,0,0,0,0,0,0,0,0
BBA_02749,0,0,0,0,0,0,0,0,0,0,0,0
BBA_02750,0,0,0,0,0,0,0,0,0,0,0,0
BBA_02751,0,0,0,0,0,0,0,0,0,0,0,0
BBA_02752,0,0,0,0,0,0,0,0,0,0.0874198,0,0
BBA_02753,17.6401,12.1361,13.8714,15.9733,16.7556,11.6921,12.9552,15.0897,14.708,14.0099,16.9487,12.5861
BBA_02754,0.45854,0.364242,0.83434,0.462427,0.271032,0.877265,0.624055,0.789553,0.649379,0.94705,1.15931,1.15552
BBA_02755,34.9329,34.0445,37.7202,24.5734,46.3231,29.6248,43.6898,36.432,33.6729,60.2734,61.527,73.7454
BBA_02756,7.87518,9.40185,13.4942,10.2993,14.8709,11.6509,11.1857,10.1301,12.543,13.7069,16.5739,15.7043
BBA_02757,33.1991,23.317,34.5584,28.7306,21.9027,44.4833,35.154,26.4511,22.3308,26.8394,26.468,29.4009
BBA_02758,92.0138,93.066,89.3284,113.282,117.421,114.079,110.631,93.1751,87.921,95.801,103.52,105.693
BBA_02759,156.441,181.75,240.252,217.643,191.295,224.397,247.482,230.217,123.383,206.494,240.49,230.745
BBA_02760,340.921,321.329,363.862,331.017,446.526,381.778,391.491,367.527,370.184,470.521,505.725,580.668
BBA_02761,32.0889,33.8081,68.131,40.2553,57.479,24.0099,66.805,53.3232,35.2592,42.9251,45.0153,56.7665
BBA_02762,0.734647,2.50608,1.3989,1.58408,2.93367,1.80907,1.70269,1.25888,1.97174,1.22758,1.12371,2.31313
BBA_02763,4.08521,3.19964,7.41257,15.5816,13.6248,9.51371,1.99471,5.80787,11.5427,6.13686,4.77875,3.15358
BBA_02764,14.5524,10.8884,13.82,12.8155,16.234,20.3408,11.8516,11.0308,9.74963,18.9627,23.0658,21.976
BBA_02765,43.5248,41.7619,66.4659,110.085,68.1403,349.948,87.4415,106.507,72.0617,80.5768,91.244,101.733
BBA_02766,68.6185,56.4267,61.7949,35.2415,114.924,56.0606,71.9283,87.3673,95.1684,118.261,134.115,162.589
BBA_02767,0,0,0.788805,0,0,0.870393,0,0,0,0.875206,0,0.890746
BBA_02768,0,0,0,0,0,0,0,0,0,0,0,0
BBA_02769,1.29848,2.42462,2.25719,2.67094,3.21975,3.44239,2.75264,1.75895,2.61916,2.01387,1.91896,2.90827
