"gene_name","ZT04ld","ZT08ld","ZT12ld","ZT16ld","ZT20ld","ZT24ld","ZT28ld","ZT32ld","ZT36ld","ZT40ld","ZT44ld","ZT48ld"
"XA68_11314",9.79666,5.34988,4.75282,0.317145,3.54791,1.97702,8.75062,7.31866,8.0748,4.81854,3.14918,2.38404
"XA68_11315",231.045,284.561,245.613,95.3218,213.23,282.363,206.373,255.999,173.06,217.458,207.203,169.593
"XA68_11316",301.482,290.206,284.176,58.245,236.38,290.313,220.35,307.073,159.635,251.446,217.333,157.793
"XA68_11317",435.699,234.802,421.008,200.731,485.321,562.54,294.991,313.91,463.89,441.047,474.858,607.853
"XA68_11318",250.422,263.954,264.247,121.396,263.315,262.944,256.852,296.975,243.161,246.708,395.272,274.182
"XA68_11319",39.8592,47.349,42.6142,69.5064,44.7728,44.5948,43.2366,44.9453,49.7656,49.7374,46.2882,51.9762
"XA68_11320",260.01,222.734,245.451,305.608,307.696,383.676,220.261,203.953,230.674,225.023,331.296,283.71
"XA68_11321",44.5088,53.2893,65.0597,102.189,57.0713,64.8124,55.1933,50.1191,64.1683,44.4327,67.3838,56.9823
"XA68_11322",365.783,470.476,359.644,362.112,309.944,275.727,426.146,433.126,311.825,439.516,252.191,287.668
"XA68_11323",41.8696,45.8185,57.4607,45.4629,57.7383,66.3158,48.3496,49.1243,45.8902,59.0578,50.8859,48.6358
"XA68_11324",52.7506,49.1448,52.8424,42.8957,50.2749,45.6768,61.8753,53.4103,54.0384,54.9615,49.1784,55.1738
"XA68_11325",36.7029,32.5554,35.5531,42.3822,32.8251,32.0254,45.9252,43.685,44.6952,51.7626,31.4083,44.8792
"XA68_11326",9.23795,7.01842,14.6459,15.2424,16.6928,14.6904,4.79994,5.61674,9.95216,5.04164,33.7356,16.3286
"XA68_11327",36.0069,29.8288,25.1543,23.5405,22.4954,23.5849,31.8176,29.8991,29.0125,35.1776,21.4205,28.639
"XA68_11328",121.017,177.077,121.533,79.7963,100.019,64.5077,144.129,159.055,103.314,186.949,83.7863,88.2791
"XA68_11329",11.9249,20.4957,10.4627,31.351,13.0251,8.54415,25.7241,19.647,9.34029,26.329,7.90876,10.7023
"XA68_11330",99.8445,114.197,112.203,93.7855,93.3304,117.512,125.367,99.9979,108.324,71.6932,82.8487,86.1982
"XA68_11331",30.6869,32.9903,38.4007,41.7355,33.228,31.4126,41.0285,36.3775,33.7456,35.6462,30.238,33.2111
"XA68_11332",117.962,101.334,115.873,315.439,143.689,193.333,84.2702,119.624,102.888,202.308,115.785,126.096
"XA68_11333",291.738,381.014,312.902,386.178,289.912,227.079,330.978,363.241,374.173,403.695,285.668,371.39
"XA68_11334",32.3831,17.805,18.1751,11.5188,19.1833,23.2941,18.0998,21.8579,17.218,15.143,19.079,20.8687
"XA68_11335",463.914,571.917,488.06,179.613,509.657,493.426,494.849,573.176,416.688,514.496,475.269,423.868
"XA68_11336",0,0,0.378515,0,0,0,0,0,0.831077,0.348303,0,0.262038
"XA68_11337",7.64043,4.75467,6.4169,7.35715,7.12297,9.60406,7.5006,4.77447,10.2183,3.97737,13.348,12.4123
"XA68_11338",2.45306,3.88864,4.71981,2.7423,7.70014,7.79379,3.59687,2.58154,6.28776,4.77424,7.60664,6.80083
"XA68_11339",12.0874,8.28807,12.8948,8.96821,11.5366,12.7925,10.3457,10.2669,12.6896,8.68196,14.7858,15.165
"XA68_11340",44.9549,39.6308,42.2609,94.341,67.3309,90.7876,50.9457,38.69,43.1385,50.2222,67.0583,54.8656
"XA68_11341",14.2857,0,8.70782,23.6755,11.1897,7.11291,12.653,9.21088,13.4889,20.0332,20.1506,11.7958
"XA68_11342",80.6232,68.873,96.2073,106.882,89.0507,118.073,68.9042,83.749,90.9944,96.3051,90.8697,93.2222
"XA68_11343",31.3516,39.2506,41.3961,32.0866,33.6568,37.1458,45.2694,38.0424,36.8304,60.0234,31.36,41.0599
"XA68_11344",25.5871,31.7955,30.1905,38.1499,27.9505,18.3179,36.6624,32.223,30.5108,35.3907,33.0577,34.1696
"XA68_11345",54.0896,43.7557,44.2304,46.1648,44.9761,42.6166,53.1374,46.1093,44.0227,43.0202,41.8958,42.9226
"XA68_11346",16.3386,15.6763,21.9135,27.2239,19.6729,19.5774,16.7889,19.0087,16.414,23.6585,19.1022,18.678
