124 common elements in DEG TMHMM and 24h rhythmic,55 common elements in DEG signalP and 24h rhytmic,127 common elements in DEGS and Modele A7,174 common elements in DEGS and Modele A1
Ophcf2|01828,Ophcf2|05013,Ophcf2|02230,Ophcf2|01264
Ophcf2|01839,Ophcf2|05146,Ophcf2|02274,Ophcf2|01289
Ophcf2|01861,Ophcf2|05197,Ophcf2|02308,Ophcf2|01303
Ophcf2|01993,Ophcf2|05337,Ophcf2|02327,Ophcf2|01366
Ophcf2|02113,Ophcf2|05468,Ophcf2|02428,Ophcf2|01468
Ophcf2|02149,Ophcf2|05511,Ophcf2|02518,Ophcf2|01501
Ophcf2|02152,Ophcf2|05537,Ophcf2|02519,Ophcf2|01536
Ophcf2|02158,Ophcf2|05565,Ophcf2|02632,Ophcf2|01609
Ophcf2|02213,Ophcf2|05574,Ophcf2|02652,Ophcf2|01610
Ophcf2|02263,Ophcf2|05681,Ophcf2|02812,Ophcf2|01643
Ophcf2|02575,Ophcf2|05734,Ophcf2|02874,Ophcf2|01658
Ophcf2|02681,Ophcf2|06001,Ophcf2|02974,Ophcf2|01663
Ophcf2|02714,Ophcf2|06103,Ophcf2|03058,Ophcf2|01683
Ophcf2|02758,Ophcf2|06352,Ophcf2|03187,Ophcf2|01699
Ophcf2|02759,Ophcf2|06359,Ophcf2|03244,Ophcf2|01828
Ophcf2|02778,Ophcf2|06361,Ophcf2|03256,Ophcf2|01834
Ophcf2|02790,Ophcf2|06418,Ophcf2|03257,Ophcf2|01837
Ophcf2|02868,Ophcf2|06744,Ophcf2|03290,Ophcf2|01839
Ophcf2|02869,Ophcf2|06782,Ophcf2|03366,Ophcf2|01861
Ophcf2|02906,Ophcf2|06891,Ophcf2|03448,Ophcf2|01878
Ophcf2|02954,Ophcf2|06968,Ophcf2|03471,Ophcf2|01995
Ophcf2|02955,Ophcf2|06979,Ophcf2|03493,Ophcf2|02120
Ophcf2|02970,Ophcf2|07067,Ophcf2|03573,Ophcf2|02162
Ophcf2|02971,Ophcf2|07105,Ophcf2|03763,Ophcf2|02232
Ophcf2|02977,,Ophcf2|03839,Ophcf2|02260
Ophcf2|02986,,Ophcf2|03912,Ophcf2|02275
Ophcf2|03051,,Ophcf2|04066,Ophcf2|02285
Ophcf2|03096,,Ophcf2|04079,Ophcf2|02412
Ophcf2|03097,,Ophcf2|04150,Ophcf2|02422
Ophcf2|03135,,Ophcf2|04168,Ophcf2|02547
Ophcf2|03330,,Ophcf2|04172,Ophcf2|02548
Ophcf2|03340,,Ophcf2|04193,Ophcf2|02575
Ophcf2|03342,,Ophcf2|04217,Ophcf2|02590
Ophcf2|03355,,Ophcf2|04293,Ophcf2|02617
Ophcf2|03397,,Ophcf2|04339,Ophcf2|02681
