,ophio_cflo_ID,ophio_kim_ID,rhythmic_24h_ophio_cflo,rhythmic_24h_ophio_kim
270,Ophcf2|00304,Ophio5|6210,yes,no
271,Ophcf2|00305,Ophio5|6209,no,no
272,Ophcf2|00306,Ophio5|7573,no,no
273,Ophcf2|00307,Ophio5|7572,no,no
274,Ophcf2|00308,Ophio5|7571,no,yes
275,Ophcf2|00309,Ophio5|1373,no,NA
276,Ophcf2|00310,Ophio5|394,no,no
277,Ophcf2|00311,Ophio5|6090,yes,no
278,Ophcf2|00312,Ophio5|6091,no,no
279,Ophcf2|00313,Ophio5|6092,no,no
280,Ophcf2|00314,Ophio5|6094,no,no
281,Ophcf2|00315,Ophio5|1329,no,no
282,Ophcf2|00316,Ophio5|1330,no,yes
283,Ophcf2|00317,Ophio5|1331,yes,no
284,Ophcf2|00318,Ophio5|1332,no,no
285,Ophcf2|00319,Ophio5|1333,yes,no
286,Ophcf2|00320,Ophio5|1334,no,no
287,Ophcf2|00321,Ophio5|1335,no,no
288,Ophcf2|00322,Ophio5|1337,no,yes
289,Ophcf2|00323,Ophio5|1338,yes,no
290,Ophcf2|00324,Ophio5|1339,yes,no
291,Ophcf2|00325,Ophio5|1340,yes,no
292,Ophcf2|00326,Ophio5|2538,yes,NA
293,Ophcf2|00327,Ophio5|1341,no,no
294,Ophcf2|00328,Ophio5|1342,yes,no
295,Ophcf2|00329,Ophio5|1343,no,yes
296,Ophcf2|00330,Ophio5|6945,yes,no
297,Ophcf2|00331,Ophio5|6946,no,no
298,Ophcf2|00332,Ophio5|6947,no,no
299,Ophcf2|00333,Ophio5|6948,no,no
300,Ophcf2|00334,Ophio5|6949,no,yes
301,Ophcf2|00335,Ophio5|7771,no,no
302,Ophcf2|00336,Ophio5|7770,no,no
303,Ophcf2|00339,Ophio5|1111,no,no
304,Ophcf2|00340,Ophio5|1112,yes,no
305,Ophcf2|00341,Ophio5|8134,no,yes
306,Ophcf2|00342,Ophio5|8135,no,yes
307,Ophcf2|00343,Ophio5|8591,no,no
308,Ophcf2|00344,Ophio5|7969,no,yes
309,Ophcf2|00345,Ophio5|7970,yes,no
310,Ophcf2|00346,Ophio5|7971,yes,no
311,Ophcf2|00347,Ophio5|7972,no,no
312,Ophcf2|00348,Ophio5|7973,no,no
313,Ophcf2|00349,Ophio5|6295,no,NA
314,Ophcf2|00352,Ophio5|8136,no,no
315,Ophcf2|00353,Ophio5|8137,no,no
316,Ophcf2|00354,Ophio5|8138,no,no
317,Ophcf2|00355,Ophio5|8139,no,no
318,Ophcf2|00356,Ophio5|8140,no,no
319,Ophcf2|00357,Ophio5|8141,no,no
320,Ophcf2|00358,Ophio5|2901,no,no
321,Ophcf2|00359,Ophio5|2902,no,no
322,Ophcf2|00360,Ophio5|2903,no,yes
323,Ophcf2|00361,Ophio5|2904,yes,no
324,Ophcf2|00362,Ophio5|2905,no,no
325,Ophcf2|00363,Ophio5|2907,yes,no
326,Ophcf2|00364,Ophio5|2908,yes,no
327,Ophcf2|00365,Ophio5|2909,no,yes
328,Ophcf2|00366,Ophio5|3353,no,no
329,Ophcf2|00367,Ophio5|3354,yes,no
330,Ophcf2|00368,Ophio5|3355,yes,no
331,Ophcf2|00369,Ophio5|3356,yes,no
332,Ophcf2|00370,Ophio5|3357,yes,yes
333,Ophcf2|00371,Ophio5|3358,no,yes
334,Ophcf2|00373,Ophio5|5553,yes,yes
335,Ophcf2|00374,Ophio5|5552,yes,yes
336,Ophcf2|00375,Ophio5|5551,no,no
337,Ophcf2|00376,Ophio5|5550,yes,no
338,Ophcf2|00377,Ophio5|5549,no,no
339,Ophcf2|00378,Ophio5|2754,no,no
340,Ophcf2|00379,Ophio5|2755,no,no
341,Ophcf2|00380,Ophio5|2756,no,no
342,Ophcf2|00381,Ophio5|2757,yes,no
343,Ophcf2|00382,Ophio5|4894,yes,no
344,Ophcf2|00383,Ophio5|4896,yes,no
345,Ophcf2|00384,Ophio5|4897,no,no
346,Ophcf2|00385,Ophio5|4899,yes,yes
347,Ophcf2|00386,Ophio5|4900,yes,no
348,Ophcf2|00387,Ophio5|4901,no,no
349,Ophcf2|00388,Ophio5|758,yes,no
350,Ophcf2|00389,Ophio5|759,yes,no
351,Ophcf2|00390,Ophio5|1912,no,no
352,Ophcf2|00391,Ophio5|1913,no,yes
353,Ophcf2|00392,Ophio5|2526,no,no
354,Ophcf2|00393,Ophio5|1915,yes,NA
355,Ophcf2|00395,Ophio5|1916,yes,no
356,Ophcf2|00396,Ophio5|1917,no,yes
357,Ophcf2|00397,Ophio5|1919,no,no
358,Ophcf2|00398,Ophio5|1920,yes,no
359,Ophcf2|00399,Ophio5|1921,no,no
360,Ophcf2|00400,Ophio5|6342,no,no
361,Ophcf2|00401,Ophio5|6343,no,no
362,Ophcf2|00402,Ophio5|6344,no,no
363,Ophcf2|00403,Ophio5|6345,no,no
364,Ophcf2|00404,Ophio5|6346,no,no
365,Ophcf2|00405,Ophio5|6347,yes,yes
366,Ophcf2|00406,Ophio5|6349,no,no
367,Ophcf2|00407,Ophio5|6351,no,yes
368,Ophcf2|00408,Ophio5|6352,no,no
369,Ophcf2|00409,Ophio5|6355,no,no
370,Ophcf2|00411,Ophio5|6823,yes,no
371,Ophcf2|00414,Ophio5|6824,yes,no
372,Ophcf2|00415,Ophio5|6335,no,no
373,Ophcf2|00416,Ophio5|6337,yes,yes
374,Ophcf2|00417,Ophio5|6338,yes,no
375,Ophcf2|00418,Ophio5|6339,no,no
376,Ophcf2|00419,Ophio5|6340,no,no
377,Ophcf2|00420,Ophio5|6341,no,no
378,Ophcf2|00421,Ophio5|6334,no,no
379,Ophcf2|00422,Ophio5|6333,yes,no
380,Ophcf2|00423,Ophio5|3882,no,no
381,Ophcf2|00424,Ophio5|3883,no,no
382,Ophcf2|00425,Ophio5|3884,no,no
383,Ophcf2|00426,Ophio5|3885,yes,no
384,Ophcf2|00427,Ophio5|3886,no,no
385,Ophcf2|00428,Ophio5|3887,yes,no
386,Ophcf2|00429,Ophio5|3888,no,no
387,Ophcf2|00430,Ophio5|3889,no,yes
388,Ophcf2|00431,Ophio5|3890,yes,no
389,Ophcf2|00434,Ophio5|678,no,no
390,Ophcf2|00435,Ophio5|7656,no,no
391,Ophcf2|00436,Ophio5|7657,no,no
392,Ophcf2|00437,Ophio5|7658,no,no
393,Ophcf2|00438,Ophio5|7171,yes,yes
394,Ophcf2|00439,Ophio5|4730,no,no
395,Ophcf2|00440,Ophio5|4731,no,no
396,Ophcf2|00441,Ophio5|4732,no,no
397,Ophcf2|00442,Ophio5|4733,no,no
398,Ophcf2|00443,Ophio5|4734,no,no
399,Ophcf2|00444,Ophio5|4735,no,no
400,Ophcf2|00445,Ophio5|4736,no,no
401,Ophcf2|00446,Ophio5|4737,no,no
402,Ophcf2|00447,Ophio5|6662,yes,yes
403,Ophcf2|00448,Ophio5|6661,yes,no
404,Ophcf2|00449,Ophio5|6659,no,no
405,Ophcf2|00450,Ophio5|3593,no,no
406,Ophcf2|00452,Ophio5|3590,yes,no
407,Ophcf2|00453,Ophio5|3589,no,no
408,Ophcf2|00454,Ophio5|3588,no,no
409,Ophcf2|00457,Ophio5|1908,yes,no
410,Ophcf2|00458,Ophio5|1909,no,no
411,Ophcf2|00459,Ophio5|1910,no,no
412,Ophcf2|00460,Ophio5|7691,no,no
413,Ophcf2|00461,Ophio5|7942,no,yes
414,Ophcf2|00462,Ophio5|7943,no,no
415,Ophcf2|00463,Ophio5|6765,no,yes
416,Ophcf2|00464,Ophio5|3584,no,no
417,Ophcf2|00465,Ophio5|3585,no,no
418,Ophcf2|00466,Ophio5|3586,no,no
419,Ophcf2|00467,Ophio5|3587,yes,no
420,Ophcf2|00468,Ophio5|1271,no,yes
421,Ophcf2|00469,Ophio5|1272,no,no
422,Ophcf2|00470,Ophio5|1273,yes,no
423,Ophcf2|00471,Ophio5|1274,yes,yes
424,Ophcf2|00473,Ophio5|1277,no,no
425,Ophcf2|00474,Ophio5|1278,NA,no
426,Ophcf2|00475,Ophio5|1280,yes,no
427,Ophcf2|00476,Ophio5|1281,no,no
428,Ophcf2|00477,Ophio5|1282,no,no
429,Ophcf2|00478,Ophio5|1283,no,no
430,Ophcf2|00480,Ophio5|7084,yes,no
431,Ophcf2|00481,Ophio5|7087,no,no
432,Ophcf2|00482,Ophio5|7088,no,no
433,Ophcf2|00483,Ophio5|7090,yes,no
434,Ophcf2|00484,Ophio5|7091,no,no
435,Ophcf2|00485,Ophio5|7092,yes,no
436,Ophcf2|00486,Ophio5|7093,no,no
437,Ophcf2|00487,Ophio5|7094,no,no
438,Ophcf2|00488,Ophio5|7095,yes,no
439,Ophcf2|00489,Ophio5|7096,no,no
440,Ophcf2|00490,Ophio5|7097,no,no
441,Ophcf2|00491,Ophio5|7098,no,no
442,Ophcf2|00492,Ophio5|8348,no,no
443,Ophcf2|00493,Ophio5|8347,no,yes
444,Ophcf2|00494,Ophio5|8197,no,no
445,Ophcf2|00495,Ophio5|8198,no,no
446,Ophcf2|00496,Ophio5|8199,no,no
